Machine,Product,Period,Demand,Cost,Holding,Setup,s0
1,1,1,8,4,0.57,20,0.9
1,1,2,8,4,0.57,20,0.0
1,1,3,8,4,0.57,20,0.0
1,1,4,8,4,0.57,20,0.0
1,1,5,8,4,0.57,20,0.0
1,1,6,8,4,0.57,20,0.0
1,1,7,8,4,0.57,20,0.0
1,1,8,8,4,0.57,20,0.0
1,1,9,8,4,0.57,20,0.0
1,1,10,8,4,0.57,20,0.0
1,1,11,8,4,0.57,20,0.0
1,1,12,8,4,0.57,20,0.0
1,1,13,8,4,0.57,20,0.0
1,1,14,8,4,0.57,20,0.0
1,1,15,8,4,0.57,20,0.0
1,1,16,8,4,0.57,20,0.0
1,1,17,8,4,0.57,20,0.0
1,1,18,8,4,0.57,20,0.0
1,1,19,8,4,0.57,20,0.0
1,1,20,8,4,0.57,20,0.0
1,1,21,8,4,0.57,20,0.0
1,1,22,8,4,0.57,20,0.0
1,1,23,8,4,0.57,20,0.0
1,1,24,8,4,0.57,20,0.0
1,1,25,8,4,0.57,20,0.0
1,1,26,8,4,0.57,20,0.0
1,1,27,8,4,0.57,20,0.0
1,1,28,8,4,0.57,20,0.0
1,1,29,8,4,0.57,20,0.0
1,1,30,8,4,0.57,20,0.0
1,1,31,8,4,0.57,20,0.0
1,1,32,8,4,0.57,20,0.0
1,1,33,8,4,0.57,20,0.0
1,1,34,8,4,0.57,20,0.0
1,1,35,8,4,0.57,20,0.0
1,1,36,8,4,0.57,20,0.0
1,1,37,8,4,0.57,20,0.0
1,1,38,8,4,0.57,20,0.0
1,1,39,8,4,0.57,20,0.0
1,1,40,8,4,0.57,20,0.0
1,1,41,8,4,0.57,20,0.0
1,1,42,8,4,0.57,20,0.0
1,1,43,8,4,0.57,20,0.0
1,1,44,8,4,0.57,20,0.0
1,1,45,8,4,0.57,20,0.0
1,1,46,8,4,0.57,20,0.0
1,1,47,8,4,0.57,20,0.0
1,1,48,8,4,0.57,20,0.0
1,1,49,8,4,0.57,20,0.0
1,1,50,8,4,0.57,20,0.0
1,1,51,8,4,0.57,20,0.0
1,1,52,8,4,0.57,20,0.0
1,1,53,8,4,0.57,20,0.0
1,1,54,8,4,0.57,20,0.0
1,1,55,8,4,0.57,20,0.0
1,1,56,8,4,0.57,20,0.0
1,1,57,8,4,0.57,20,0.0
1,1,58,8,4,0.57,20,0.0
1,1,59,8,4,0.57,20,0.0
1,1,60,8,4,0.57,20,0.0
1,1,61,8,4,0.57,20,0.0
1,1,62,8,4,0.57,20,0.0
1,1,63,8,4,0.57,20,0.0
1,1,64,8,4,0.57,20,0.0
1,1,65,8,4,0.57,20,0.0
1,1,66,8,4,0.57,20,0.0
1,1,67,8,4,0.57,20,0.0
1,1,68,8,4,0.57,20,0.0
1,1,69,8,4,0.57,20,0.0
1,1,70,8,4,0.57,20,0.0
1,1,71,8,4,0.57,20,0.0
1,1,72,8,4,0.57,20,0.0
1,1,73,8,4,0.57,20,0.0
1,1,74,8,4,0.57,20,0.0
1,1,75,8,4,0.57,20,0.0
1,1,76,8,4,0.57,20,0.0
1,1,77,8,4,0.57,20,0.0
1,1,78,8,4,0.57,20,0.0
1,1,79,8,4,0.57,20,0.0
1,1,80,8,4,0.57,20,0.0
1,1,81,8,4,0.57,20,0.0
1,1,82,8,4,0.57,20,0.0
1,1,83,8,4,0.57,20,0.0
1,1,84,8,4,0.57,20,0.0
1,1,85,8,4,0.57,20,0.0
1,1,86,8,4,0.57,20,0.0
1,1,87,8,4,0.57,20,0.0
1,1,88,8,4,0.57,20,0.0
1,1,89,8,4,0.57,20,0.0
1,1,90,8,4,0.57,20,0.0
1,1,91,8,4,0.57,20,0.0
1,1,92,8,4,0.57,20,0.0
1,1,93,8,4,0.57,20,0.0
1,1,94,8,4,0.57,20,0.0
1,1,95,8,4,0.57,20,0.0
1,1,96,8,4,0.57,20,0.0
1,1,97,8,4,0.57,20,0.0
1,1,98,8,4,0.57,20,0.0
1,1,99,8,4,0.57,20,0.0
1,1,100,8,4,0.57,20,0.0
1,2,1,1,5,0.24,8,8.0
1,2,2,1,5,0.24,8,0.0
1,2,3,1,5,0.24,8,0.0
1,2,4,1,5,0.24,8,0.0
1,2,5,1,5,0.24,8,0.0
1,2,6,1,5,0.24,8,0.0
1,2,7,1,5,0.24,8,0.0
1,2,8,1,5,0.24,8,0.0
1,2,9,1,5,0.24,8,0.0
1,2,10,1,5,0.24,8,0.0
1,2,11,1,5,0.24,8,0.0
1,2,12,1,5,0.24,8,0.0
1,2,13,1,5,0.24,8,0.0
1,2,14,1,5,0.24,8,0.0
1,2,15,1,5,0.24,8,0.0
1,2,16,1,5,0.24,8,0.0
1,2,17,1,5,0.24,8,0.0
1,2,18,1,5,0.24,8,0.0
1,2,19,1,5,0.24,8,0.0
1,2,20,1,5,0.24,8,0.0
1,2,21,1,5,0.24,8,0.0
1,2,22,1,5,0.24,8,0.0
1,2,23,1,5,0.24,8,0.0
1,2,24,1,5,0.24,8,0.0
1,2,25,1,5,0.24,8,0.0
1,2,26,1,5,0.24,8,0.0
1,2,27,1,5,0.24,8,0.0
1,2,28,1,5,0.24,8,0.0
1,2,29,1,5,0.24,8,0.0
1,2,30,1,5,0.24,8,0.0
1,2,31,1,5,0.24,8,0.0
1,2,32,1,5,0.24,8,0.0
1,2,33,1,5,0.24,8,0.0
1,2,34,1,5,0.24,8,0.0
1,2,35,1,5,0.24,8,0.0
1,2,36,1,5,0.24,8,0.0
1,2,37,1,5,0.24,8,0.0
1,2,38,1,5,0.24,8,0.0
1,2,39,1,5,0.24,8,0.0
1,2,40,1,5,0.24,8,0.0
1,2,41,1,5,0.24,8,0.0
1,2,42,1,5,0.24,8,0.0
1,2,43,1,5,0.24,8,0.0
1,2,44,1,5,0.24,8,0.0
1,2,45,1,5,0.24,8,0.0
1,2,46,1,5,0.24,8,0.0
1,2,47,1,5,0.24,8,0.0
1,2,48,1,5,0.24,8,0.0
1,2,49,1,5,0.24,8,0.0
1,2,50,1,5,0.24,8,0.0
1,2,51,1,5,0.24,8,0.0
1,2,52,1,5,0.24,8,0.0
1,2,53,1,5,0.24,8,0.0
1,2,54,1,5,0.24,8,0.0
1,2,55,1,5,0.24,8,0.0
1,2,56,1,5,0.24,8,0.0
1,2,57,1,5,0.24,8,0.0
1,2,58,1,5,0.24,8,0.0
1,2,59,1,5,0.24,8,0.0
1,2,60,1,5,0.24,8,0.0
1,2,61,1,5,0.24,8,0.0
1,2,62,1,5,0.24,8,0.0
1,2,63,1,5,0.24,8,0.0
1,2,64,1,5,0.24,8,0.0
1,2,65,1,5,0.24,8,0.0
1,2,66,1,5,0.24,8,0.0
1,2,67,1,5,0.24,8,0.0
1,2,68,1,5,0.24,8,0.0
1,2,69,1,5,0.24,8,0.0
1,2,70,1,5,0.24,8,0.0
1,2,71,1,5,0.24,8,0.0
1,2,72,1,5,0.24,8,0.0
1,2,73,1,5,0.24,8,0.0
1,2,74,1,5,0.24,8,0.0
1,2,75,1,5,0.24,8,0.0
1,2,76,1,5,0.24,8,0.0
